id,pn,num,company_name,aog_status,create_time,PNR_ID
18364,398908-3,1.0,九元航空有限公司,Confirm,2021-12-06 15:37:33,21-6X-19
18810,645242-1,1.0,北京飞机维修工程有限公司呼和浩特分公司,Done,2021-12-08 16:10:39,21-2x-28
21590,67600014-1,1.0,幸福航空有限责任公司,Confirm,2021-12-24 14:52:52,21-5X-11
21590,67600014-1,1.0,幸福航空有限责任公司,Confirm,2021-12-24 14:52:52,21-5X-40
21714,67600014-1,1.0,厦门航空有限公司,Confirm,2021-12-25 11:21:36,21-5X-11
21714,67600014-1,1.0,厦门航空有限公司,Confirm,2021-12-25 11:21:36,21-5X-40
21985,7121-19971-01AC,1.0,中国邮政航空有限责任公司,Done,2021-12-27 14:20:45,21-3x-02
22493,1150002-1,1.0,苏南瑞丽航空有限公司,Confirm,2021-12-29 17:21:17,21-5X-13
22494,1150250-1,1.0,苏南瑞丽航空有限公司,Confirm,2021-12-29 19:08:19,21-5X-31
22742,WL501RC1,1.0,中原龙浩航空有限公司,Confirm,2021-12-31 07:46:26,21-3x-07-A
23081,65-52810-64,1.0,中国邮政航空有限责任公司,Confirm,2022-01-02 15:21:34,21-5X-02
23082,622814-5,1.0,中国邮政航空有限责任公司,Confirm,2022-01-02 15:21:34,21-6X-14
23083,541674-4,1.0,中国邮政航空有限责任公司,Confirm,2022-01-02 15:21:34,21-5X-11
23083,541674-4,1.0,中国邮政航空有限责任公司,Confirm,2022-01-02 15:21:34,21-5X-40
24155,3202444-1,1.0,厦门航空有限公司,Done,2022-01-07 21:55:25,21-6X-17
24318,396608-1,1.0,厦门航空有限公司,Done,2022-01-08 23:07:29,21-5X-03
24442,645242-1,1.0,昆明航空有限公司,Confirm,2022-01-09 22:43:19,21-2x-28
25474,641121-1,1.0,天津货运航空有限公司,Confirm,2022-01-14 21:04:34,21-6X-04
25483,63396754-2,1.0,厦门航空有限公司,Confirm,2022-01-14 21:40:19,21-5X-03
25722,398908-3,1.0,中国邮政航空有限责任公司,Done,2022-01-17 10:56:18,21-5X-35
25722,398908-3,1.0,中国邮政航空有限责任公司,Done,2022-01-17 10:56:18,21-6X-19
26858,572756-1,1.0,中国邮政航空有限责任公司,Done,2022-01-23 19:54:03,21-5X-28
27122,65-52810-64,1.0,昆明航空有限公司,Confirm,2022-01-25 09:17:54,21-5X-02
27208,2215280-1,1.0,昆明航空有限公司,Confirm,2022-01-25 14:08:04,21-5X-04
27546,645242-1,1.0,昆明航空有限公司,Confirm,2022-01-27 10:04:36,21-2x-28
28032,21933-01AC,1.0,幸福航空有限责任公司,Confirm,2022-01-30 19:03:39,21-3x-02
28323,396608-1,1.0,奥凯航空有限公司,Confirm,2022-02-05 01:06:18,21-5X-03
29368,398908-5,1.0,幸福航空有限责任公司,Done,2022-02-13 14:56:32,21-5X-35
29368,398908-5,1.0,幸福航空有限责任公司,Done,2022-02-13 14:56:32,21-6X-19
29479,645405-2,1.0,东海航空有限公司,Confirm,2022-02-14 09:15:56,21-2x-16
29935,21933-01AD,1.0,厦门航空有限公司,Confirm,2022-02-16 19:06:58,21-3x-02
30464,67600014-1,1.0,九元航空有限公司,Done,2022-02-20 15:05:13,21-5X-11
30464,67600014-1,1.0,九元航空有限公司,Done,2022-02-20 15:05:13,21-5X-40
30809,398908-5,1.0,深圳航空有限责任公司,Confirm,2022-02-22 14:49:33,21-5X-35
30809,398908-5,1.0,深圳航空有限责任公司,Confirm,2022-02-22 14:49:33,21-6X-19
31435,4063-19972-02AB,1.0,中国邮政航空有限责任公司,Done,2022-02-25 22:05:35,21-3x-03
31656,3202444-1,2.0,厦门航空有限公司,Done,2022-02-27 22:04:49,21-6X-17
34264,67600014-1,1.0,九元航空有限公司,Done,2022-03-13 23:07:42,21-5X-11
34264,67600014-1,1.0,九元航空有限公司,Done,2022-03-13 23:07:42,21-5X-40
34275,4063-19972-01AB,1.0,中原龙浩航空有限公司,Done,2022-03-14 07:54:53,21-3x-03
34989,67600014-1,1.0,九元航空有限公司,Done,2022-03-18 02:18:39,21-5X-11
34989,67600014-1,1.0,九元航空有限公司,Done,2022-03-18 02:18:39,21-5X-40
