"CSCOD","MENGE","EBELN","BSART","ADPRI","BEDAT","LIFNR","WAERS","ZZSTORT","MATNR","NETPR","NETWR"
MU,3,"12KX73500",POW,NOR,"20120718","0000001549",USD,B737-300,"214C50-2",800,2400
MU,4,"12GX73536",POW,EXP,"20120822","0000001143",USD,B737NG,"214C50-2",990,3960
MU,1,"12GX78847",POW,NOR,"20121224","0000001549",USD,B737NG,"214C50-2",800,800
MU,5,"17KX77335",POW,CRT,"20170406","0000001006",USD,B737NG,"214C50-2",1001.84,5009.2
MU,1,"1600052418",POW,CRT,"20190610","0000003325",USD,B737NG,"214C50-2",1060,1060
MU,1,"7800000214",PON,CRT,"20150629","1000000010",RMB, ,"21933-01AC",24478.63,24478.63
CA,1,"4010001173",POW, ,"20080312",CS00042,USD, ,"21933-01AC",40107.25,40107.25
CA,1,"4010001704",POW, ,"20080626",CS20133,USD, ,"21933-01AC",40107.25,40107.25
CA,1,"4010003996",POW, ,"20090520",CS00042,USD, ,"21933-01AC",42553.53,42553.53
CA,1,"4010003996",POW, ,"20090520",CS00042,USD, ,"21933-01AC",42553.53,42553.53
CA,1,"4010012297",POW, ,"20110525",CS00042,USD, ,"21933-01AC",46122.92,46122.92
MU,2,"11SG77114",POW,EXP,"20111104","0000001549",USD,B737NG,"21933-01AC",48876.63,97753.26
CA,2,"4010015808",POW, ,"20120420",CS00042,USD, ,"21933-01AC",50123.37,100246.74
CA,2,"4010020199",POW,NOR,"20130726",CS00042,USD, ,"21933-01AC",52729.79,105459.58
CA,1,"4010022938",POW,NOR,"20140414",CS00042,USD, ,"21933-01AD",54174.58,54174.58
CA,1,"4010024899",POW,NOR,"20140919",CS00042,USD, ,"21933-01AD",53606.1,53606.1
MU,1,"18GX79156",POW,CRT,"20181221","0000001548",USD,B737MAX,"21933-01AD",56559.24,56559.24
MU,1,"12KX78012",POW,CRT,"20120911","0000003135",USD,B737NG,"2214275-1",3526.5,3526.5
CA,1,"4010006406",POW, ,"20100113",OS70210001,USD, ,"2215240-1",49616.5,49616.5
CA,1,"4010009490",POW, ,"20100915",OS70210001,USD, ,"2215240-1",49616.5,49616.5
CA,1,"4010009865",POW,AOG,"20101029",OS70210001,USD, ,"2215240-1",49616.5,49616.5
CA,1,"4010014562",POW, ,"20111212",OS96774001,USD, ,"2215240-1",54426.5,54426.5
CA,1,"4010012252",POW, ,"20110524",OS70210001,USD, ,"2215280-1",44993.5,44993.5
MU,1,"11GG78510",POW,CRT,"20111031","0000003135",USD,B737NG,"2215280-1",46793,46793
MU,2,"12GX73613",POW,AOG,"20120912","0000003135",USD,B737NG,"2215280-1",46793,93586
CA,1,"4010017545",POW,CRT,"20120926",OS70210001,USD, ,"2215280-1",46793,46793
MU,1,"14GX78493",POW,EXP,"20141113","0000003135",USD,B737NG,"2215280-1",51613.5,51613.5
MU,1,"17GX78303",POW,NOR,"20170401","0000003135",USD,B737NG,"2215280-3",56383.42,56383.42
MU,2,"16GX78521",POW,NOR,"20160122","0000003135",USD,B737NG,"3202444-1",7863.91,15727.82
MU,1,"1100023958",POW,CRT,"20200921","0000008027",USD,B737NG,"3202444-1",8944.87,8944.87
MU,2,"1600201998",POW,CRT,"20201015","0000003131",USD,B737NG,"3202444-1",6709,13418
MU,2,"1600434318",POW,EXP,"20221205","0000001614",USD,B737NG,"3202444-1",10731.81,21463.62
MU,2,"1600436021",POW,EXP,"20221209","0000001614",USD,B737NG,"3202444-1",10731.81,21463.62
MU,4,"1600469790",POW,EXP,"20230320","0000001614",USD,B737NG,"3202444-1",12001.28,48005.12
MU,1,"12KX78012",POW,CRT,"20120911","0000003135",USD,B737NG,"3202446-1",7459,7459
CA,1,"4010012845",POW,CRT,"20110711",OS59364001,USD, ,"3214972-1",28479,28479
CA,1,"4010017533",POW,CRT,"20120925",OS70210001,USD, ,"3214972-1",29903,29903
MU,1,"1100011494",POW,NOR,"20190820","0000008027",USD,B737NG,"3214972-1",41181,41181
CA,1,"4010003758",POW, ,"20090424",OS59364001,USD, ,"3290206-1",17440,17440
CA,1,"4010011168",POW,AOG,"20110311",OS07217001,USD, ,"3290206-1",18726.5,18726.5
CA,1,"4010016889",POW,NOR,"20120723",OS70210001,USD, ,"3290206-1",20037.5,20037.5
CA,1,"4010017203",POW,NOR,"20120827",OS70210001,USD, ,"3290206-1",20037.5,20037.5
CA,1,"4010019902",POW,CRT,"20130620",OS70210001,USD, ,"3290206-1",20538.5,20538.5
MU,1,"1100011986",POW,EXP,"20190911","0000008027",USD,B737NG,"3290206-1",26224.55,26224.55
CA,1,"4010010684",POW, ,"20110119",OS59364001,USD, ,"396498-2",40509.5,40509.5
CA,1,"4010019028",POW,NOR,"20130315",CS00029,USD, ,"396498-2",18500,18500
MU,1,"17GX78575",POW,CRT,"20170731","0000008027",USD,B737NG,"396498-2",54029.57,54029.57
CA,1,"4010012253",POW, ,"20110524",OS70210001,USD, ,"396608-1",61699,61699
MU,1,"11KG78017",POW,EXP,"20111229","0000003135",USD,B737NG,"396608-1",66635,66635
CA,1,"4010017378",POW,NOR,"20120913",OS59364001,USD, ,"396608-1",64635.95,64635.95
MU,1,"12MG73564",POW,CRT,"20121207","0000003135",USD,B737NG,"396608-1",66635,66635
CA,1,"4010020579",POW,NOR,"20130820",OS70210001,USD, ,"396608-1",72965.5,72965.5
CA,1,"4010026752",POW,EXP,"20150305",OS70210001,USD, ,"396608-1",78335.73,78335.73
MU,1,"1600047700",POW,CRT,"20190527","0000008027",USD,B737NG,"396608-1",87135.24,87135.24
MU,1,"1600118225",POW,NOR,"20191211","0000003131",USD,B737NG,"396608-1",82778.48,82778.48
MU,1,"7800000546",PON,EXP,"20150928","1000000004",RMB, ,"398908-3",12746.97,12746.97
MU,1,"7800000592",PON,CRT,"20151021","1000000004",RMB, ,"398908-3",9914.53,9914.53
CA,2,"4010001579",POW, ,"20080516",OS70210001,USD, ,"398908-3",17603.5,35207
MU,1,"11J70077",POW,CRT,"20110131","0000003135",USD,B737NG,"398908-3",20468.5,20468.5
MU,1,"11KG78011",POW,EXP,"20111223","0000003135",USD,B737NG,"398908-3",20468.5,20468.5
CA,1,"4010016429",POW, ,"20120607",OS70210001,USD, ,"398908-3",21901.5,21901.5
MU,2,"12KX78012",POW,CRT,"20120911","0000003135",USD,B737NG,"398908-3",21901.5,43803
CA,2,"4010021760",POW,CRT,"20131223",OS70210001,USD, ,"398908-4",24015,48030
CA,1,"4010023410",POW,CRT,"20140522",OS70210001,USD, ,"398908-4",25035.5,25035.5
