CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT,PNR_ID,CHID,剩余数量
MU,1,4100003886,HQY,CRT,20150105,1000000225,RMB,B737NG,398908-3,0.0,0.0,20150105,20150122.0,17.0,21-5X-35,MCC6414142T00551400001,0
MU,1,4100003887,HQY,AOG,20150105,1000000106,RMB,B737NG,67600014-1,1.0,1.0,20150105,20150109.0,4.0,21-5X-11,,1
MU,1,4100003934,HQY,CRT,20150123,1000000106,RMB,B737NG,398908-4,1141.41,1141.41,20150123,20150127.0,4.0,21-5X-35,MCC6463017T14018660001,0
MU,1,1500003227,HQY,NOR,20210630,1000000575,RMB,B737NG,67600014-1,11537.58,11537.58,20210701,20210712.0,11.0,21-5X-11,153321423T00005930001,0
MU,1,1500003248,HQY,CRT,20210706,1000000141,RMB,B737NG,3290206-1,2000.0,2000.0,20210706,20210712.0,6.0,21-5X-36,153351653T00045280001,0
MU,1,1500003272,HQY,CRT,20210709,1000000012,RMB,B737NG,396608-1,48612.39,48612.39,20210709,20210729.0,20.0,21-5X-03,153375230T00274020001,0
MU,1,1500003284,HQY,NOR,20210716,1349,USD,B737NG,645242-1,100.0,100.0,20211011,20220210.0,122.0,21-2x-28,153934695T00139790001,0
MU,1,1500003510,HQY,NOR,20210914,1349,USD,B737NG,645242-1,100.0,100.0,20210926,20220210.0,137.0,21-2x-28,154060162T01073220001,0
MU,1,1500003507,HQY,NOR,20210913,1000000012,RMB,B737NG,645242-1,10000.0,10000.0,20210913,20211022.0,39.0,21-2x-28,153757346T00387070001,0
MU,1,4100000227,HQY,AOG,20110524,1000000155,RMB,B737NG,541674-4,3.0,3.0,20110525,20110913.0,111.0,21-5X-11,MCC3098305T00210450001,0
MU,1,4100000229,HQY,AOG,20110525,1000000106,RMB,B737-300,1150002-1,1.0,1.0,20110525,,,21-5X-13,151173801T00751900001,0
MU,1,4100000740,HQY,CRT,20111011,100050,RMB,B737NG,541674-4,1.0,1.0,20111012,20140512.0,943.0,21-5X-11,MCC3372450T00520500001,0
MU,1,4100000741,HQY,NOR,20111011,100050,RMB,B737NG,541674-4,1.0,1.0,20111012,20140512.0,943.0,21-5X-11,MCC3396339T00550700001,0
MU,1,4100000580,HQY,CRT,20110811,100050,RMB,B737NG,607518-2,1.0,1.0,20110811,20140514.0,1007.0,21-5X-37,MCC3199843T00647780001,0
MU,1,1500002737,HQY,NOR,20210318,1000000031,RMB,B737NG,645242-1,5000.0,5000.0,20210319,20210625.0,98.0,21-2x-28,152806232T00900260001,0
MU,1,1500002754,HQY,NOR,20210322,1000000141,RMB,B737NG,51090160-1,3000.0,3000.0,20210322,20210407.0,16.0,21-6X-14,152817097T00874420001,0
