CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT,PNR_ID,CHID,剩余数量,拆换_CHID,拆换飞机号,拆换部件号,拆换日期,拆换时间,故障描述
MU,1,1500002191,HQY,NOR,20200927,1000000152,RMB,B737NG,645242-1,14000.0,14000.0,20200928,20201103.0,36.0,21-2x-28,152068147T20356040001,0,152068147T20356040001,B1471,645242-1,20201031,63932, 
MU,1,4100007243,HQY,AOG,20170120,1000000141,RMB,B737NG,541674-4,1.0,1.0,20170123,20170210.0,18.0,21-5X-11,145337729T07146240001,0,145337729T07146240001,B5475,541674-4,20170208,82051, 
MU,1,4100007165,HQY,AOG,20170103,1000000575,RMB,B737NG,21230-10BA,27438.37,27438.37,20170103,20170109.0,6.0,21-3x-03,,1,,,,,,
MU,1,4100007673,HQY,AOG,20170504,1000000155,RMB,B737NG,65-52810-64,4972.15,4972.15,20170504,20170512.0,8.0,21-5X-02,145698566T00097890002,0,145698566T00097890002,B5692,65-52810-64,20170504,83540, 
MU,1,4100007954,HQY,AOG,20170625,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170626,20171110.0,137.0,21-5X-11,146137193T17550250001,0,146137193T17550250001,B1790,67600014-1,20170811,120410, 
MU,1,4100007907,HQY,CRT,20170618,1000000575,RMB,B737NG,645242-1,30496.59,30496.59,20170618,20170901.0,75.0,21-2x-28,145893108T17360030001,0,145893108T17360030001,B5815,645242-1,20170618,133309,17GW99593
MU,1,4100008004,HQY,NOR,20170703,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170705,20171016.0,103.0,21-5X-11,146239266T17884930001,0,146239266T17884930001,B1990,67600014-1,20170902,61650, 
MU,1,4100008069,HQY,AOG,20170714,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170715,20171120.0,128.0,21-5X-11,146126073T17738690001,0,146126073T17738690001,B1990,67600014-1,20170809,95743, 
MU,1,4100008008,HQY,AOG,20170704,1000000575,RMB,B737NG,67600014-1,4586.21,4586.21,20170705,20170710.0,5.0,21-5X-11,145965384T00291300001,0,145965384T00291300001,B1967,67600014-1,20170706,91748,17GW88238
MU,1,4100008007,HQY,AOG,20170704,1000000575,RMB,B737NG,67600014-1,31030.2,31030.2,20170705,20170816.0,42.0,21-5X-11,146006203T00295440001,0,146006203T00295440001,B6108,67600014-1,20170714,131310,17GW88260
MU,1,4100007940,HQY,CRT,20170623,1000000141,RMB,B737NG,396498-2,1.0,1.0,20170626,20170921.0,87.0,21-5X-03,146076560T00328550001,0,146076560T00328550001,B5827,396498-2,20170729,72930, 
MU,1,4100007949,HQY,AOG,20170624,1000000575,RMB,B737NG,396498-2,55422.52,55422.52,20170628,20170816.0,49.0,21-5X-03,146154179T00648020001,0,146154179T00648020001,B2577,396498-2,20170815,93417, 
MU,1,4100008108,HQY,NOR,20170723,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20170724,20171108.0,107.0,21-5X-11,146170571T17685620001,0,146170571T17685620001,B1907,67600014-1,20170819,133054,17KW61179
MU,1,4100007974,HQY,AOG,20170627,1000000155,RMB,B737NG,67600014-1,36656.4,36656.4,20170628,20170815.0,48.0,21-5X-11,146039496T08186770001,0,146039496T08186770001,B1910,67600014-1,20170721,93430,17MW65028
MU,1,4100008181,HQY,CRT,20170807,1000000155,RMB,B737NG,WL501RC1,3890.46,3890.46,20170808,20171103.0,87.0,21-3x-07-A,146230618T12478670001,0,146230618T12478670001,B1933,WL501RC1,20170831,82859,17YW63068
MU,1,4100008235,HQY,AOG,20170817,1000000575,RMB,B737NG,7123-19973-03AC,21166.59,21166.59,20170817,20170901.0,15.0,21-3X-01,,1,,,,,,
MU,1,4100008139,HQY,CRT,20170729,1000000575,RMB,B737NG,396608-1,46881.01,46881.01,20170731,20170828.0,28.0,21-5X-03,146196885T00259580001,0,146196885T00259580001,B5833,396608-1,20170824,70915,5100031820
MU,1,4100008148,HQY,AOG,20170730,1000000141,RMB,B737NG,396608-1,1.0,1.0,20170731,20170914.0,45.0,21-5X-03,146243902T00306260001,0,146243902T00306260001,B5550,396608-1,20170903,62205,5100031883
MU,1,4100008195,HQY,AOG,20170810,1000000575,RMB,B737NG,67600014-1,19594.17,19594.17,20170811,20170905.0,25.0,21-5X-11,146160630T17594950001,0,146160630T17594950001,B6148,67600014-1,20170816,110445, 
MU,1,4100008160,HQY,AOG,20170802,1000000152,RMB,B737NG,396608-1,13934.3,13934.3,20170802,20170811.0,9.0,21-5X-03,146104041T00586790001,0,146104041T00586790001,B5140,396608-1,20170804,152351,6100362944
MU,1,4100008533,HQY,AOG,20171016,1000000575,RMB,B737NG,WL501RC1,6090.19,6090.19,20171017,20171101.0,15.0,21-3x-07-A,146492547T17753110001,0,146492547T17753110001,B1572,WL501RC1,20171027,143453, 
MU,1,4100008461,HQY,AOG,20171001,1000000141,RMB,B737NG,541674-4,1.0,1.0,20171011,20171027.0,16.0,21-5X-11,146441961T00271300001,0,146441961T00271300001,B5730,541674-4,20171016,94238, 
MU,1,4100008799,HQY,AOG,20171211,1000000575,RMB,B737NG,67600014-1,11804.82,11804.82,20171212,20171227.0,15.0,21-5X-11,146758484T17505530001,0,146758484T17505530001,B5815,67600014-1,20171224,104022, 
MU,1,1600025444,HQY,AOG,20190329,1000000733,RMB,B737NG,21230-10BA,18258.07,18258.07,20190401,20190403.0,2.0,21-3x-03,,1,,,,,,
MU,1,1600049779,HQY,AOG,20190531,1000000141,RMB,B737NG,3290206-1,1928.66,1928.66,20190603,20190603.0,1.0,21-5X-36,,1,,,,,,
MU,1,1600043713,HQY,AOG,20190517,1000000012,RMB,B737NG,645242-1,24975.39,24975.39,20190518,20190716.0,59.0,21-2x-28,149534000T02094100001,0,149534000T02094100001,B1791,645242-1,20190609,101450,1600053214
MU,1,1600071506,HQY,AOG,20190729,1000000012,RMB,B737NG,67600014-1,129936.43,129936.43,20190729,20191029.0,92.0,21-5X-11,149848511T00437610001,0,149848511T00437610001,B1448,67600014-1,20190803,100046, 
MU,1,1600083051,HQY,CRT,20190830,1000000141,RMB,B737NG,67600014-1,28705.02,28705.02,20190902,20191014.0,42.0,21-5X-11,150244446T10913510001,0,150244446T10913510001,B1535,67600014-1,20191012,84248, 
MU,1,4100009789,HQY,AOG,20180608,1000000155,RMB,B737NG,396608-1,11517.77,11517.77,20180610,20180612.0,2.0,21-5X-03,,1,,,,,,
MU,1,4100009958,HQY,AOG,20180706,1000000155,RMB,B737NG,67600014-1,21931.2,21931.2,20180710,20180727.0,17.0,21-5X-11,147826091T12919010001,0,147826091T12919010001,B5858,67600014-1,20180723,132944, 
MU,1,4100010002,HQY,CRT,20180713,1000000575,RMB,B737NG,65-52810-64,3342.78,3342.78,20180716,20180717.0,1.0,21-5X-02,,1,,,,,,
MU,1,4100010008,HQY,CRT,20180714,1000000155,RMB,B737NG,645242-1,30241.88,30241.88,20180714,20180921.0,69.0,21-2x-28,148114700T00942970001,0,148114700T00942970001,B6141,645242-1,20180919,133644, 
MU,1,4100010126,HQY,NOR,20180804,1000000155,RMB,B737NG,3290206-1,24237.42,24237.42,20180806,20181112.0,98.0,21-5X-36,148132953T18006080001,0,148132953T18006080001,B5547,3290206-1,20180922,53647, 
MU,1,4100010331,HQY,AOG,20180917,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20180918,20181108.0,51.0,21-5X-11,148128880T00507000001,0,148128880T00507000001,B5831,67600014-1,20180921,100139, 
MU,1,4100010333,HQY,AOG,20180917,1000000575,RMB,B737NG,67600014-1,17879.38,17879.38,20181010,20181010.0,1.0,21-5X-11,,1,,,,,,
MU,1,1600000909,HQY,AOG,20190108,1000000141,RMB,B737NG,20798-01,0.0,0.0,20190110,20190412.0,92.0,21-2x-27,149198969T10749980001,0,149198969T10749980001,B7393,20798-01,20190410,90251, 
MU,1,4100003394,HQY,CRT,20140803,1000000155,RMB,B737NG,65-52810-57,1424.87,1424.87,20140804,20140804.0,1.0,21-5X-02,,1,,,,,,
MU,1,4100003484,HQY,CRT,20140824,1000000155,RMB,B737NG,398908-3,17485.58,17485.58,20140825,20140916.0,22.0,21-5X-35,MCC6043677T02980230001,0,MCC6043677T02980230001,B5701,398908-3,20140902,3000, 
MU,1,4100003376,HQY,AOG,20140727,1000000106,RMB,B737NG,398908-3,7413.53,7413.53,20140729,20140806.0,8.0,21-5X-35,MCC5932022T13567650001,0,MCC5932022T13567650001,B5323,398908-3,20140729,63452, 
MU,1,4100003543,HQY,CRT,20140912,1000000155,RMB,B737NG,398908-4,36696.81,36696.81,20140912,20141027.0,45.0,21-5X-35,MCC6085700T04899980001,0,MCC6085700T04899980001,B5315,398908-4,20140916,84945, 
MU,1,4100003464,HQY,AOG,20140818,1000000225,RMB,B737-300,398116-1-1,0.0,0.0,20140818,20141216.0,120.0,21-6X-22,MCC5989180T01190710001,0,MCC5989180T01190710001,B2969,398116-1-1,20140818,144750, 
MU,1,4100003780,HQY,AOG,20141122,1000000225,RMB,B737NG,0123FA2,1.0,1.0,20141122,20141229.0,37.0,21-2x-29,MCC6382198T04924450001,0,MCC6382198T04924450001,B1900,0123FA2,20141225,85227, 
MU,1,4100003657,HQY,CRT,20141022,1000000141,RMB,B737-300,1019439-1-001,1.0,1.0,20141024,20141108.0,15.0,21-3X-01,MCC6241645T02060980001,0,MCC6241645T02060980001,B2988,1019439-1-001,20141106,103438, 
MU,1,4100003795,HQY,AOG,20141127,1000000142,RMB,B737NG,398908-4,41497.43,41497.43,20141127,20150107.0,41.0,21-5X-35,MCC6336969T04342010001,0,MCC6336969T04342010001,B5795,398908-4,20141209,90513, 
MU,1,4100003624,HQY,AOG,20141011,1000000106,RMB,B737NG,67600014-1,1.0,1.0,20141011,20141103.0,23.0,21-5X-11,MCC6214007T00062630001,0,MCC6214007T00062630001,B1908,67600014-1,20141028,91218, 
MU,1,4100003729,HQY,CRT,20141109,1000000155,RMB,B737NG,1019439-1-001,40585.87,40585.87,20141113,20141121.0,8.0,21-3X-01,MCC6278783T14290410001,0,MCC6278783T14290410001,B5839,1019439-1-001,20141119,84959, 
MU,1,4100003803,HQY,AOG,20141202,1000000106,RMB,B737-300,1019439-1-001,1.0,1.0,20141202,20141216.0,14.0,21-3X-01,MCC6349213T02136740001,0,MCC6349213T02136740001,B2571,1019439-1-001,20141214,144400, 
MU,1,4100003735,HQY,AOG,20141111,1000000106,RMB,B737NG,398908-3,1397.82,1397.82,20141111,20141113.0,2.0,21-5X-35,MCC6255591T11280330001,0,MCC6255591T11280330001,B5857,398908-3,20141111,24249, 
MU,1,4100003733,HQY,AOG,20141111,1000000106,RMB,B737NG,3290206-1,1254.43,1254.43,20141111,20141113.0,2.0,21-5X-36,,1,,,,,,
MU,1,4100003760,HQY,AOG,20141115,1000000155,RMB,B737NG,398908-3,1.0,1.0,20141115,20141128.0,13.0,21-5X-35,MCC6268330T24192980001,0,MCC6268330T24192980001,B1910,398908-3,20141115,225300, 
MU,1,4100003761,HQY,AOG,20141116,1000000106,RMB,B737NG,398908-3,1.0,1.0,20141118,20141229.0,41.0,21-5X-35,MCC6278458T04070720001,0,MCC6278458T04070720001,B5796,398908-3,20141119,103647, 
MU,1,4100003606,HQY,AOG,20140930,1000000106,RMB,B737NG,607518-2,1.0,1.0,20140930,20141118.0,49.0,21-5X-37,,1,,,,,,
MU,1,4100003842,HQY,CRT,20141218,1000000155,RMB,B737NG,51090160-1,46770.69,46770.69,20141218,20150114.0,27.0,21-6X-14,MCC6432322T14149650001,0,MCC6432322T14149650001,B5839,51090160-1,20150112,71314, 
MU,1,4100003848,HQY,CRT,20141219,1000000142,RMB,B737NG,1019439-1-001,91610.26,91610.26,20141219,20150114.0,26.0,21-3X-01,MCC6434809T14284980001,0,MCC6434809T14284980001,B1990,1019439-1-001,20150113,24145, 
MU,1,4100008958,HQY,NOR,20180105,1000000155,RMB,B737NG,67600014-1,45101.88,45101.88,20180108,20180301.0,52.0,21-5X-11,146948296T04560660001,0,146948296T04560660001,B1965,67600014-1,20180119,111526,18MW65617
MU,1,4100009103,HQY,AOG,20180201,1000000155,RMB,B737NG,67600014-1,45888.61,45888.61,20180202,20180330.0,56.0,21-5X-11,147164031T08397430001,0,147164031T08397430001,B5689,67600014-1,20180312,101035, 
MU,1,4100009055,HQY,CRT,20180120,1000000155,RMB,B737NG,67600014-1,36136.4,36136.4,20180121,20180306.0,44.0,21-5X-11,147118931T09137110001,0,147118931T09137110001,B6017,67600014-1,20180302,161824, 
MU,1,4100009237,HQY,AOG,20180301,1000000155,RMB,B737NG,396498-2,55126.54,55126.54,20180305,20180423.0,49.0,21-5X-03,147168482T17408150001,0,147168482T17408150001,B5210,396498-2,20180312,170237, 
MU,1,4100009520,HQY,AOG,20180429,1000000575,RMB,B737NG,67600014-1,5664.41,5664.41,20180429,20180504.0,5.0,21-5X-11,147419094T17814250001,0,147419094T17814250001,B1753,67600014-1,20180503,61511, 
MU,1,4100002265,HQY,CRT,20130603,1000000155,RMB,B737NG,398908-3,1.0,1.0,20130603,20130605.0,2.0,21-5X-35,,1,,,,,,
MU,1,4100002389,HQY,CRT,20130717,1000000142,RMB,B737NG,0123FA2,8415.09,8415.09,20130717,20130726.0,9.0,21-2x-29,MCC4933110T13314450001,0,MCC4933110T13314450001,B5208,0123FA2,20130724,91039, 
MU,1,4100002527,HQY,AOG,20130901,1000000155,RMB,B737NG,3214972-1,78366.06,78366.06,20130901,20131023.0,52.0,21-6X-18,MCC5037705T13182860002,0,MCC5037705T13182860002,B5399,3214972-1,20130901,94513,6100114284
MU,1,4100002488,HQY,CRT,20130816,1000000142,RMB,B737NG,398908-3,2465.09,2465.09,20130819,20140116.0,150.0,21-5X-35,MCC5066834T03074160001,0,MCC5066834T03074160001,B5185,398908-3,20130913,104255,6100116393
MU,1,4100002757,HQY,AOG,20131121,1000000106,RMB,B737NG,398908-3,1.0,1.0,20131121,20140103.0,43.0,21-5X-35,MCC5289703T10909190001,0,MCC5289703T10909190001,B5493,398908-3,20131214,152702,5100009717
MU,1,4100002758,HQY,AOG,20131121,1000000012,RMB,B737NG,21230-03AC,1.0,1.0,20131122,20140120.0,59.0,21-3x-03,MCC5235967T03553940001,0,MCC5235967T03553940001,B5330,21230-03AC,20131122,95625,6100129196
MU,1,4100002734,HQY,CRT,20131112,1000000225,RMB,B737NG,396608-1,0.0,0.0,20131112,20131224.0,42.0,21-5X-03,MCC5269397T00527700001,0,MCC5269397T00527700001,B5530,396608-1,20131205,222400, 
MU,1,4100002798,HQY,CRT,20131206,1000000225,RMB,B737NG,541674-4,1.0,1.0,20131206,20140320.0,104.0,21-5X-11,MCC5269214T90147830001,0,MCC5269214T90147830001,B5199,541674-4,20131206,150636,6100129240
MU,1,4100002746,HQY,NOR,20131117,1000000155,RMB,B737NG,398908-3,1.0,1.0,20131121,20131205.0,14.0,21-5X-35,MCC5233208T01644740001,0,MCC5233208T01644740001,B1908,398908-3,20131122,100418,5100009509
MU,1,4100002788,HQY,AOG,20131204,1000000012,RMB,B737NG,7123-19973-03AC,1.0,1.0,20140106,20140409.0,93.0,21-3X-01,MCC5531978T04168070001,0,MCC5531978T04168070001,B5145,7123-19973-03AC,20140317,91002,6100145332
MU,1,4100002999,HQY,CRT,20140310,1000000155,RMB,B737NG,398908-4,5619.41,5619.41,20140310,20140312.0,2.0,21-5X-35,,1,,,,,,
MU,1,4100002913,HQY,CRT,20140122,1000000106,RMB,B737NG,4063-19972-01AA,1.0,1.0,20140122,20140225.0,34.0,21-3x-03,MCC5390845T13444540001,0,MCC5390845T13444540001,B2685,4063-19972-01AA,20140123,92513, 
MU,1,4100003014,HQY,CRT,20140319,1000000141,RMB,B737NG,398908-4,0.0,0.0,20140320,20140408.0,19.0,21-5X-35,MCC5575108T02821890001,0,MCC5575108T02821890001,B5796,398908-4,20140401,150800,5100011204
MU,1,4100003135,HQY,CRT,20140514,1000000155,RMB,B737NG,51090160-1,127709.42,127709.42,20140515,20140630.0,46.0,21-6X-14,MCC5817571T13360860001,0,MCC5817571T13360860001,B5839,51090160-1,20140623,85109, 
MU,1,4100003073,HQY,CRT,20140415,1000000012,RMB,B737NG,541674-4,1.0,1.0,20140418,20140423.0,5.0,21-5X-11,MCC5622492T00507240001,0,MCC5622492T00507240001,B5530,541674-4,20140418,145350, 
MU,1,4100003151,HQY,AOG,20140523,1000000142,RMB,B737NG,3290206-1,25751.89,25751.89,20140523,20140619.0,27.0,21-5X-36,9999-B9999-Z99910000420870001,0,9999-B9999-Z99910000420870001,B5547,3290206-1,20140613,161525, 
MU,1,4100003116,HQY,CRT,20140506,1000000155,RMB,B737NG,4063-19972-01AA,168426.01,168426.01,20140506,20140506.0,1.0,21-3x-03,,1,,,,,,
MU,1,4100003187,HQY,CRT,20140529,1000000155,RMB,B737NG,398908-3,48382.13,48382.13,20140529,20140801.0,64.0,21-5X-35,MCC5742781T13657570001,0,MCC5742781T13657570001,B5705,398908-3,20140529,141200,6100158675
MU,1,4100003327,HQY,AOG,20140714,1000000106,RMB,B737NG,398908-3,1.0,1.0,20140714,20140722.0,8.0,21-5X-35,MCC5882870T02102320001,0,MCC5882870T02102320001,B1908,398908-3,20140714,64941, 
MU,1,4100005945,HQY,NOR,20160524,1000000152,RMB,B737NG,398908-5,19129.68,19129.68,20160524,20160627.0,34.0,21-5X-35,144306638T00100380001,0,144306638T00100380001,B5549,398908-5,20160531,100533,5100023492
MU,1,4100006070,HQY,AOG,20160616,1000000142,RMB,B737NG,396498-2,8641.8,8641.8,20160620,20160623.0,3.0,21-5X-03,144376589T15697180001,0,144376589T15697180001,B2681,396498-2,20160621,120023, 
MU,1,4100006102,HQY,AOG,20160621,1000000141,RMB,B737NG,398908-5,1.0,1.0,20160621,20160706.0,15.0,21-5X-35,144396360T06101980001,0,144396360T06101980001,B5731,398908-5,20160626,103405,5100024051
MU,1,4100005931,HQY,AOG,20160522,1000000141,RMB,B737NG,398908-5,1.0,1.0,20160526,20160708.0,43.0,21-5X-35,144310193T12015170001,0,144310193T12015170001,B1772,398908-5,20160601,85628,5100023509
MU,1,4100006410,HQY,AOG,20160809,1000000155,RMB,B737NG,1150002-1,1108.61,1108.61,20160810,20160815.0,5.0,21-5X-13,144552303T06146070001,0,144552303T06146070001,B5780,1150002-1,20160810,91927, 
MU,1,4100006223,HQY,AOG,20160714,1000000142,RMB,B737NG,2340400-1,13324.56,13324.56,20160715,20160720.0,5.0,21-5X-18,,1,,,,,,
MU,1,4100006684,HQY,AOG,20161008,1000000141,RMB,B737NG,67600014-1,1.0,1.0,20161010,20161111.0,32.0,21-5X-11,144956013T12189680001,0,144956013T12189680001,B1773,67600014-1,20161031,155602,16GW88097
MU,1,4100006476,HQY,AOG,20160820,1000000142,RMB,B737NG,398908-5,3147.31,3147.31,20160822,20160822.0,1.0,21-5X-35,144683831T15660830001,0,144683831T15660830001,B1990,398908-5,20160822,134437,5100025307
MU,1,4100006718,HQY,AOG,20161016,1000000575,RMB,B737NG,1019439-1-001,20481.06,20481.06,20161017,20161031.0,14.0,21-3X-01,144905380T00707760001,0,144905380T00707760001,B7397,1019439-1-001,20161018,34447,16GW77929
MU,1,4100006751,HQY,NOR,20161021,1000000575,RMB,B737NG,65-52810-59,3300.48,3300.48,20161024,20161025.0,1.0,21-5X-02,,1,,,,,,
MU,1,4100007147,HQY,AOG,20161229,1000000155,RMB,B737-300,51090160-1,13338.54,13338.54,20161230,20170109.0,10.0,21-6X-14,145214176T17034060001,0,145214176T17034060001,B1523,51090160-1,20170108,101623, 
MU,1,4100007000,HQY,NOR,20161207,1000000142,RMB,B737NG,67600014-1,14487.39,14487.39,20161208,20161226.0,18.0,21-5X-11,145154648T07161040001,0,145154648T07161040001,B1513,67600014-1,20161223,82704, 
MU,1,4100007148,HQY,AOG,20161230,1000000575,RMB,B737NG,123266-2-1,2531.22,2531.22,20170103,20170112.0,9.0,21-6X-03,145220770T16293480001,0,145220770T16293480001,B5209,123266-2-1,20170110,90558, 
MU,1,4100007016,HQY,CRT,20161210,1000000155,RMB,B737NG,67600014-1,28263.22,28263.22,20161212,20170118.0,37.0,21-5X-11,145250143T17035600001,0,145250143T17035600001,B7561,67600014-1,20170117,102322, 
MU,1,4100007077,HQY,AOG,20161221,1000000141,RMB,B737-300,21230-03AC,1.0,1.0,20161223,20170210.0,49.0,21-3x-03,,1,,,,,,
MU,1,4100001886,HQY,CRT,20130113,1000000155,RMB,B737NG,541674-4,17496.89,17496.89,20130113,20130204.0,22.0,21-5X-11,MCC4474312T02655250001,0,MCC4474312T02655250001,B5368,541674-4,20130116,72816,6100079955
MU,1,4100002002,HQY,CRT,20130225,1000000155,RMB,B737NG,541674-4,65515.04,65515.04,20130225,20130504.0,68.0,21-5X-11,MCC4601079T00786670001,0,MCC4601079T00786670001,B5245,541674-4,20130309,91034,6100087077
MU,1,4100002113,HQY,CRT,20130406,1000000142,RMB,B737NG,541674-4,6401.89,6401.89,20130408,20130410.0,2.0,21-5X-11,MCC4675553T13041820001,0,MCC4675553T13041820001,B5033,541674-4,20130409,82712, 
MU,1,4100001974,HQY,CRT,20130209,1000000142,RMB,B737NG,0123FA2,18513.2,18513.2,20130209,20130305.0,24.0,21-2x-29,MCC4582770T10050630001,0,MCC4582770T10050630001,B5722,0123FA2,20130301,95029, 
MU,1,4100001975,HQY,CRT,20130209,1000000142,RMB,B737NG,0123FA2,29452.83,29452.83,20130209,20130315.0,34.0,21-2x-29,MCC4534037T00148900001,0,MCC4534037T00148900001,B5722,0123FA2,20130209,84459, 
MU,1,4100004054,HQY,CRT,20150307,1000000106,RMB,B737NG,0123FA2,4060.93,4060.93,20150307,20150319.0,12.0,21-2x-29,MCC6615392T14511060001,0,MCC6615392T14511060001,B5209,0123FA2,20150318,91309, 
MU,1,4100004125,HQY,CRT,20150328,1000000142,RMB,B737NG,0123FA2,15186.32,15186.32,20150328,20150413.0,16.0,21-2x-29,MCC6681239T14551560001,0,MCC6681239T14551560001,B5209,0123FA2,20150410,65454, 
MU,1,4100004161,HQY,CRT,20150412,1000000106,RMB,B737NG,398908-3,1.0,1.0,20150413,,,21-5X-35,MCC6729178T04447370001,0,MCC6729178T04447370001,B5692,398908-3,20150427,64332,15GW77532
MU,1,4100004398,HQY,AOG,20150623,1000000106,RMB,B737NG,398908-3,30867.29,30867.29,20150625,20150826.0,62.0,21-5X-35,140451060T04770170001,0,140451060T04770170001,B2168,398908-3,20150807,61319, 
MU,1,4100004278,HQY,CRT,20150522,1000000155,RMB,B737NG,51090160-1,1.0,1.0,20150522,20150529.0,7.0,21-6X-14,,1,,,,,,
MU,1,4100004322,HQY,AOG,20150605,1000000012,RMB,B737NG,67600014-1,39461.12,39461.12,20150608,20150703.0,25.0,21-5X-11,128892929T04449740001,0,128892929T04449740001,B5833,67600014-1,20150613,25642,15GW77553
MU,1,4100004404,HQY,AOG,20150625,1000000012,RMB,B737NG,398908-3,1.0,1.0,20150626,,,21-5X-35,140489186T05283720001,0,140489186T05283720001,B5701,398908-3,20150911,72719,5100019136
MU,1,4100004188,HQY,CRT,20150427,1000000155,RMB,B737NG,398908-4,1.0,1.0,20150427,20150612.0,46.0,21-5X-35,MCC6755348T04300450001,0,MCC6755348T04300450001,B1901,398908-4,20150506,43652,5100016914
MU,1,4100004189,HQY,CRT,20150427,1000000155,RMB,B737NG,398908-4,11770.11,11770.11,20150427,20150512.0,15.0,21-5X-35,MCC6729647T14468870001,0,MCC6729647T14468870001,B1989,398908-4,20150427,84322,5100017851
MU,1,4100004190,HQY,CRT,20150427,1000000155,RMB,B737NG,3290206-1,1347.17,1347.17,20150427,20150429.0,2.0,21-5X-36,MCC6730549T03125530001,0,MCC6730549T03125530001,B5517,3290206-1,20150427,125618,6100211668
MU,1,4100004415,HQY,AOG,20150629,1000000106,RMB,B737NG,67600014-1,38321.79,38321.79,20150630,20151126.0,149.0,21-5X-11,140484714T04805170001,0,140484714T04805170001,B1720,67600014-1,20150907,82601, 
MU,1,4100004353,HQY,AOG,20150611,1000000106,RMB,B737NG,398908-4,757.85,757.85,20150612,20150612.0,1.0,21-5X-35,,1,,,,,,
MU,1,4100004205,HQY,CRT,20150430,1000000141,RMB,B737NG,398908-3,1.0,1.0,20150506,20150817.0,103.0,21-5X-35,MCC6801167T03086590001,0,MCC6801167T03086590001,B5517,398908-3,20150522,101730, 
MU,1,4100004365,HQY,CRT,20150614,1000000155,RMB,B737NG,398908-3,1.0,1.0,20150615,,,21-5X-35,MCC6990651T15013510001,0,MCC6990651T15013510001,B1751,398908-3,20150816,84759,5100018638
MU,1,4100004311,HQY,AOG,20150602,1000000012,RMB,B737NG,398908-4,36663.1,36663.1,20150603,20150729.0,56.0,21-5X-35,140439403T04056270001,0,140439403T04056270001,B5780,398908-4,20150724,141548, 
MU,1,4100004456,HQY,AOG,20150707,1000000106,RMB,B737NG,398908-3,17475.03,17475.03,20150709,20150812.0,34.0,21-5X-35,140420458T04589500001,0,140420458T04589500001,B5831,398908-3,20150709,85429, 
MU,1,4100004668,HQY,AOG,20150830,1000000106,RMB,B737NG,0123FA2,27500.25,27500.25,20150831,20151117.0,78.0,21-2x-29,MCC7069732T15426260002,0,MCC7069732T15426260002,B5262,0123FA2,20151018,94101,6100239719
