CSCOD,MENGE,EBELN,BSART,ADPRI,BEDAT,LIFNR,WAERS,ZZSTORT,MATNR,NETPR,NETWR,ZZJRRQ,ZZGHRQ,ZXLTAT
MU,1,1600050555,HQY,AOG,20190604,1000000031,RMB,B737NG,107484-7,100,100,20190604,20190701,27.0
MU,1,1600054020,HQY,AOG,20190613,1000000012,RMB,B737NG,C17001DA01,3951.81,3951.81,20190613,20190620,7.0
MU,1,1500001760,HQY,NOR,20190620,1000000141,RMB,B737NG,3215618-5,21778.73,21778.73,20190620,20190704,14.0
MU,1,1600061496,HQY,AOG,20190702,0000001522,USD,B737NG,822-2556-102,219,219,20190723,20210531,678.0
MU,1,1500001747,HQY,NOR,20190605,1000000141,RMB,B737NG,2206400-2,100,100,20190611,20190614,3.0
MU,1,1600071506,HQY,AOG,20190729,1000000012,RMB,B737NG,67600014-1,129936.43,129936.43,20190729,20191029,92.0
MU,1,1600075813,HQY,AOG,20190808,1000000012,RMB,B737NG,940-0351-001,27567.65,27567.65,20190812,20190814,2.0
MU,1,1600076248,HQY,AOG,20190809,1000000141,RMB,B737NG,980-4750-003,6521.08,6521.08,20190813,20190821,8.0
MU,1,1600073268,HQY,AOG,20190801,1000000142,RMB,B737NG,285A1300-1,30568.97,30568.97,20190802,20190805,3.0
MU,1,1600076457,HQY,AOG,20190810,1000000012,RMB,B737NG,2061-15-1,3913.96,3913.96,20190810,20190819,9.0
MU,1,1600073384,HQY,CRT,20190802,1000000142,RMB,B737NG,315A2801-5,57670.94,57670.94,20190802,20191012,71.0
MU,1,1600063433,HQY,CRT,20190706,1000000141,RMB,B737NG,3215618-5,17067.15,17067.15,20190706,20190717,11.0
MU,1,1600070585,HQY,CRT,20190725,1000000141,RMB,B737NG,4082730-901,15226.64,15226.64,20190726,20190807,12.0
MU,1,1600067391,HQY,CRT,20190717,1000000031,RMB,B737NG,8-930-03,0.01,0.01,20190718,20190820,33.0
MU,1,1600078066,HQY,CRT,20190815,1000000141,RMB,B737NG,822-0334-003,49083.13,49083.13,20190816,20191011,56.0
MU,1,1600071462,HQY,CRT,20190726,1000000012,RMB,B737NG,4081600-940,100,100,20190727,20190804,8.0
MU,1,1600064507,HQY,CRT,20190710,1000000141,RMB,B737NG,174101-02-01,1606.93,1606.93,20190710,20190710,1.0
MU,1,1600071659,HQY,AOG,20190729,0000003381,USD,B737NG,174101-02-01,19407,19407,20191001,20201218,444.0
MU,1,1600068514,HQY,AOG,20190719,1000000141,RMB,B737NG,251A4430-4,14372.24,14372.24,20190720,20190820,31.0
MU,1,1600068122,HQY,AOG,20190719,1000000141,RMB,B737NG,4081600-940,114000.56,114000.56,20190719,20190804,16.0
MU,1,1600081668,HQY,AOG,20190828,1000000141,RMB,B737NG,762246,19617.21,19617.21,20190829,20191008,40.0
MU,1,1600076094,HQY,CRT,20190809,1000000209,RMB,B737NG,315A2801-5,0.01,0.01,20190814,20190926,43.0
MU,1,1600083051,HQY,CRT,20190830,1000000141,RMB,B737NG,67600014-1,28705.02,28705.02,20190902,20191014,42.0
MU,1,1600080137,HQY,AOG,20190822,1000000141,RMB,B737NG,315A2801-4,18698.26,18698.26,20190824,20190923,30.0
MU,1,1600084951,HQY,CRT,20190905,1000000012,RMB,B737NG,930-2000-001,60870.52,60870.52,20190911,20190918,7.0
