"id","pn","num","company_name","aog_status","create_time"
23081,"65-52810-64",1.0000,中国邮政航空有限责任公司,Confirm,"2022-01-02 15:21:34"
23082,"622814-5",1.0000,中国邮政航空有限责任公司,Confirm,"2022-01-02 15:21:34"
23083,"541674-4",1.0000,中国邮政航空有限责任公司,Confirm,"2022-01-02 15:21:34"
24155,"3202444-1",1.0000,厦门航空有限公司,Done,"2022-01-07 21:55:25"
24228,"7123-19973-03AC",1.0000,东方航空技术有限公司,Doing,"2022-01-08 17:48:33"
24318,"396608-1",1.0000,厦门航空有限公司,Done,"2022-01-08 23:07:29"
24442,"645242-1",1.0000,昆明航空有限公司,Confirm,"2022-01-09 22:43:19"
25474,"641121-1",1.0000,天津货运航空有限公司,Confirm,"2022-01-14 21:04:34"
25483,"63396754-2",1.0000,厦门航空有限公司,Confirm,"2022-01-14 21:40:19"
25722,"398908-3",1.0000,中国邮政航空有限责任公司,Done,"2022-01-17 10:56:18"
26858,"572756-1",1.0000,中国邮政航空有限责任公司,Done,"2022-01-23 19:54:03"
27121,"21230-10BA",1.0000,昆明航空有限公司,Doing,"2022-01-25 09:16:48"
27122,"65-52810-64",1.0000,昆明航空有限公司,Confirm,"2022-01-25 09:17:54"
27208,"2215280-1",1.0000,昆明航空有限公司,Confirm,"2022-01-25 14:08:04"
27221,"2215240-1",1.0000,昆明航空有限公司,Doing,"2022-01-25 14:53:44"
27546,"645242-1",1.0000,昆明航空有限公司,Confirm,"2022-01-27 10:04:36"
28032,"21933-01AC",1.0000,幸福航空有限责任公司,Confirm,"2022-01-30 19:03:39"
28070,"21933-01AC",1.0000,河北航空有限公司,Doing,"2022-01-31 13:16:23"
28074,"1150002-1",1.0000,昆明航空有限公司,Doing,"2022-01-31 15:04:40"
28323,"396608-1",1.0000,奥凯航空有限公司,Confirm,"2022-02-05 01:06:18"
29368,"398908-5",1.0000,幸福航空有限责任公司,Done,"2022-02-13 14:56:32"
29479,"645405-2",1.0000,东海航空有限公司,Confirm,"2022-02-14 09:15:56"
29935,"21933-01AD",1.0000,厦门航空有限公司,Confirm,"2022-02-16 19:06:58"
30464,"67600014-1",1.0000,九元航空有限公司,Done,"2022-02-20 15:05:13"
30809,"398908-5",1.0000,深圳航空有限责任公司,Confirm,"2022-02-22 14:49:33"
31009,"617166-1",1.0000,中州航空有限责任公司,Doing,"2022-02-23 16:55:03"
31435,"4063-19972-02AB",1.0000,中国邮政航空有限责任公司,Done,"2022-02-25 22:05:35"
31656,"3202444-1",2.0000,厦门航空有限公司,Done,"2022-02-27 22:04:49"
31686,"7121-19971-01AC",1.0000,中国邮政航空有限责任公司,Doing,"2022-02-28 09:19:55"
33027,"67200060-1",1.0000,东方航空技术有限公司,Cancel,"2022-03-07 09:23:14"
33091,"3202444-1",1.0000,中国邮政航空有限责任公司,Doing,"2022-03-07 10:27:31"
33105,"67200060-1",1.0000,东方航空技术有限公司,Doing,"2022-03-07 10:44:01"
34111,"2215510-2",1.0000,九元航空有限公司,Doing,"2022-03-12 14:14:51"
34112,"2215280-1",1.0000,九元航空有限公司,Doing,"2022-03-12 14:14:51"
34248,ES210-1632,1.0000,杭州圆通货运航空有限公司,Doing,"2022-03-13 18:38:18"
34264,"67600014-1",1.0000,九元航空有限公司,Done,"2022-03-13 23:07:42"
34275,"4063-19972-01AB",1.0000,中原龙浩航空有限公司,Done,"2022-03-14 07:54:53"
34989,"67600014-1",1.0000,九元航空有限公司,Done,"2022-03-18 02:18:39"
